Respondent_ID,Persona_Cluster,Q1_AgeRaw,Q3_Education,Q5_IncomeTier_Imputed,Q7_YearsDubai,Q10_NumCurrencies,Q12_SavingsPct,Q9_ReviewFrequency,Q8_MobileBanking,Q8_DedicatedApp,Q8_Spreadsheet,Q11_Remittance,Q11_FX,Q11_Investment,Q11_Subscriptions,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_HealthUnderstanding,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q19_PrivacyConcern,Q24_DownloadLikelihood,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_WouldRecommend,Q27_CurrentSatisfaction,Q31_ConfidenceAI,Q29_NPS,Q20_WTP_Intent,Q21_WTP_AED,Q22_PricingModel,Derived_PainComposite,Derived_TechAffinity,Derived_AdoptionAttitude,Derived_FinancialStress,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness
R0011,Tech-Savvy Millennial,36,3,3,2,3,1,3,0,0,0,1,0,0,1,4,3,3,4,5,2,5,4,3,4,3,2,8,4,3,5,5,6,7,2,50,4,3.62,1.0,3.83,4.21,6.24,4.0,2,0.7581
R0012,High-Earning Nomad,38,4,3,3,4,1,4,1,1,1,1,1,0,1,3,4,3,2,3,3,4,3,3,4,5,2,4,1,3,5,5,3,6,3,80,4,3.5,6.0,3.0,4.35,6.0,9.0,4,0.455
R0013,Cautious Saver,41,3,3,4,3,1,3,1,0,0,1,0,1,0,2,2,2,1,3,2,5,3,4,5,3,2,6,2,5,4,6,3,8,2,50,3,2.25,3.0,3.33,3.52,3.3,7.0,3,0.5781
R0014,Tech-Savvy Millennial,32,2,3,2,3,1,1,1,1,1,0,0,0,0,3,2,3,4,3,4,5,3,3,5,1,2,8,4,4,5,4,4,6,2,80,1,3.38,6.0,3.5,4.09,5.96,8.0,0,0.705
R0015,Tech-Savvy Millennial,38,3,2,5,3,3,2,1,0,0,1,0,0,0,1,3,4,2,2,3,4,5,3,4,3,2,6,4,5,4,5,5,10,1,50,2,2.75,3.0,4.0,3.18,4.5,5.0,3,0.655
R0016,Tech-Savvy Millennial,28,2,5,2,2,1,4,1,1,0,1,1,0,0,3,3,4,2,2,2,4,4,4,3,4,2,7,3,4,4,3,7,8,3,80,4,3.12,6.0,4.0,3.76,5.64,7.0,3,0.735
R0017,Senior Finance Pro,45,4,3,5,3,2,3,0,0,0,0,0,1,0,1,3,3,2,3,3,3,3,5,5,5,2,6,4,4,4,3,5,8,5,0,2,3.0,1.0,3.33,3.6,5.4,5.0,2,0.6081
R0018,Struggling Expat,32,3,3,3,2,2,4,1,0,0,1,0,0,0,4,5,5,3,5,2,4,5,5,5,3,3,5,5,5,4,3,4,6,3,30,3,4.25,3.0,4.17,4.03,7.9,4.0,2,0.6019
R0019,Senior Finance Pro,43,3,5,5,4,2,3,0,0,1,1,1,1,1,2,2,3,3,2,1,4,5,3,3,4,2,6,4,3,4,6,4,4,4,80,2,2.5,1.0,3.83,3.55,3.8,7.0,5,0.6281
R0020,Senior Finance Pro,47,5,5,4,3,1,3,1,0,0,0,1,0,1,2,2,3,1,2,2,3,4,5,4,4,2,7,4,4,4,5,6,8,4,50,3,2.25,3.0,4.0,3.52,3.5,6.0,3,0.72
R0021,Struggling Expat,36,1,2,4,2,1,1,0,0,0,1,1,0,0,5,5,5,5,5,5,3,5,4,4,3,3,10,4,3,5,1,2,10,1,30,2,3.75,1.0,4.17,4.08,7.3,2.0,2,0.8219
R0022,Tech-Savvy Millennial,34,5,5,2,3,2,2,1,1,0,0,1,1,1,4,3,3,2,2,1,4,5,4,5,3,3,7,4,4,4,6,5,9,1,50,2,3.12,6.0,4.0,3.66,5.04,9.0,5,0.705
R0023,Senior Finance Pro,41,3,4,4,3,4,2,0,0,1,0,0,0,1,4,2,2,2,3,4,4,4,4,5,3,3,6,4,3,4,4,3,9,2,150,4,2.62,1.0,3.67,2.81,4.44,4.0,3,0.6019
R0024,Senior Finance Pro,43,3,4,3,3,2,3,0,1,0,1,0,1,1,2,1,3,2,1,2,3,3,5,4,5,3,6,3,4,4,5,2,10,1,80,4,2.0,4.0,3.5,3.04,3.0,9.0,4,0.575
R0025,Senior Finance Pro,47,2,3,5,3,1,2,0,0,0,1,0,0,0,1,2,3,3,1,3,2,5,5,4,5,2,8,4,4,4,5,7,8,2,80,2,2.38,0.0,3.83,3.59,3.76,3.0,1,0.7731
R0026,Cautious Saver,52,5,3,4,3,1,1,0,1,1,1,1,0,1,4,3,3,4,2,3,2,4,4,3,4,3,6,3,4,3,4,3,6,2,30,2,3.0,3.0,3.5,3.9,5.2,7.0,5,0.59
R0027,Tech-Savvy Millennial,31,2,4,2,3,1,2,1,0,0,1,0,1,0,3,3,3,3,3,3,4,4,3,5,4,1,6,3,3,3,10,5,2,2,50,2,3.62,3.0,4.17,4.21,5.24,7.0,2,0.6669
R0028,Struggling Expat,34,2,3,4,2,1,3,0,0,1,0,0,1,1,3,4,5,3,3,4,4,5,4,5,3,3,4,3,3,2,2,4,6,2,30,2,4.0,1.0,3.83,4.2,7.6,5.0,4,0.5281
R0029,Struggling Expat,36,2,4,2,2,1,2,1,0,0,0,1,1,1,3,1,5,5,5,4,4,5,3,5,2,2,6,5,3,5,3,4,4,2,50,2,4.12,3.0,4.17,4.26,7.64,7.0,3,0.6519
R0030,Tech-Savvy Millennial,29,3,3,3,2,1,1,1,0,0,1,1,0,1,2,5,4,3,1,1,4,4,3,2,4,2,6,4,5,4,6,3,9,2,30,3,2.88,3.0,4.17,3.64,4.56,5.0,4,0.6369
R0031,Struggling Expat,37,2,1,5,3,1,4,0,0,1,1,0,0,1,3,5,5,4,3,2,5,5,4,5,4,2,3,4,4,5,2,4,7,3,10,2,4.0,1.0,4.5,4.4,7.6,4.0,4,0.525
R0032,Tech-Savvy Millennial,26,2,1,1,3,2,3,0,1,0,1,0,0,0,3,3,2,1,2,2,5,4,4,3,4,1,7,4,4,4,3,2,4,2,80,2,2.62,4.0,3.67,3.41,4.64,6.0,1,0.6369
R0033,Tech-Savvy Millennial,30,2,3,3,2,2,2,1,1,0,0,1,0,1,4,3,2,3,2,2,4,4,3,4,4,2,8,4,5,4,4,6,5,1,30,2,2.88,5.0,4.5,3.34,4.96,8.0,2,0.805
R0034,High-Earning Nomad,35,3,5,2,4,1,3,1,0,0,0,0,1,0,2,2,3,4,1,3,3,5,3,4,5,1,7,4,4,5,4,8,7,1,80,4,2.88,3.0,4.0,4.04,4.96,8.0,2,0.75
R0035,High-Earning Nomad,43,3,5,1,5,1,3,1,1,1,1,1,1,1,3,3,3,4,3,2,5,4,4,5,5,1,4,4,3,5,4,5,8,2,80,5,3.12,6.0,4.0,4.36,5.44,9.0,5,0.555
R0036,Cautious Saver,39,3,3,4,3,1,3,0,0,0,1,0,0,1,4,2,4,3,1,2,4,3,5,3,3,2,5,3,3,2,4,2,6,2,30,3,2.75,1.0,3.0,3.78,4.7,4.0,3,0.49
R0037,Senior Finance Pro,44,5,4,5,4,2,3,1,0,0,0,1,1,1,3,2,2,1,3,2,4,3,5,4,3,3,7,3,4,5,6,7,6,2,50,3,2.38,3.0,4.0,3.49,3.56,9.0,4,0.735
R0038,Tech-Savvy Millennial,29,2,3,1,3,1,1,0,1,0,1,1,0,1,4,4,3,2,2,3,4,3,5,4,3,1,7,4,2,3,5,3,8,2,50,6,3.12,4.0,3.67,3.96,5.24,7.0,3,0.6519
R0039,Struggling Expat,36,2,2,4,3,1,4,0,1,0,1,0,0,1,3,3,5,3,4,5,3,5,4,5,3,2,4,4,3,4,3,2,6,4,10,3,3.88,4.0,4.0,4.34,7.16,7.0,3,0.51
R0040,Senior Finance Pro,48,3,4,5,3,1,1,1,0,1,0,0,0,0,2,3,3,3,3,2,2,4,3,5,3,3,5,3,3,5,2,4,8,3,80,5,2.5,3.0,3.83,3.65,4.6,5.0,1,0.5781
R0041,Tech-Savvy Millennial,32,5,2,4,3,2,3,1,0,0,0,1,1,1,5,2,4,2,3,3,5,3,4,4,3,1,6,3,5,4,2,3,7,4,30,2,3.25,3.0,3.83,3.72,6.1,8.0,5,0.6131
R0042,Struggling Expat,42,5,2,2,2,1,3,0,0,0,1,1,0,1,5,5,5,2,3,3,5,4,4,5,4,1,6,5,4,3,4,3,6,3,10,6,4.12,1.0,4.17,4.26,7.44,3.0,4,0.6369
R0043,Tech-Savvy Millennial,32,4,2,4,2,1,2,1,1,0,1,0,0,1,5,5,5,5,5,5,5,4,5,3,4,1,10,4,4,5,5,5,10,1,80,2,2.38,6.0,4.17,3.39,3.76,8.0,2,0.8669
R0044,High-Earning Nomad,44,3,4,5,4,1,1,0,0,0,1,0,0,1,3,2,4,3,2,3,4,4,3,4,5,1,5,4,5,4,4,4,8,2,150,2,3.25,1.0,3.83,4.22,5.7,5.0,3,0.5781
R0045,Tech-Savvy Millennial,29,2,1,3,3,2,3,1,0,0,1,1,0,1,3,3,3,3,2,3,4,3,4,3,3,2,9,4,5,5,6,6,8,3,50,2,3.25,3.0,4.33,3.72,5.3,6.0,4,0.8431
R0046,Struggling Expat,46,2,3,5,3,1,4,0,0,0,1,1,0,1,2,5,4,4,3,5,3,5,3,5,3,3,4,5,3,4,3,2,4,2,10,2,4.12,1.0,4.17,4.46,7.64,4.0,4,0.5219
R0047,Senior Finance Pro,46,3,4,5,4,2,3,1,0,1,1,1,0,1,2,3,2,3,2,3,4,4,5,5,4,2,8,2,4,4,4,4,7,3,150,3,2.62,3.0,3.67,3.61,4.44,7.0,5,0.7169
R0048,Struggling Expat,36,2,5,1,3,1,3,0,1,1,1,1,1,1,4,4,5,5,4,5,3,3,4,5,2,2,6,4,4,4,1,1,4,3,10,1,4.5,3.0,3.67,4.6103,8.56,9.0,5,0.5719
R0049,Struggling Expat,38,3,2,4,2,1,3,0,0,0,0,0,0,1,4,4,4,5,3,4,3,4,5,5,3,2,7,4,5,5,2,3,5,5,0,2,4.25,1.0,4.33,4.32,8.1,3.0,2,0.6981
R0050,Tech-Savvy Millennial,35,5,3,3,3,1,2,1,1,0,1,1,0,1,3,2,2,2,3,2,4,5,5,4,4,2,7,4,5,4,6,7,10,2,50,2,2.75,6.0,4.33,3.78,4.3,9.0,3,0.7581
R0051,High-Earning Nomad,42,5,4,4,5,1,2,1,1,1,0,0,1,1,1,2,4,2,3,4,4,5,3,4,2,2,8,3,4,5,2,6,8,4,50,2,2.88,6.0,4.0,4.24,5.36,9.0,4,0.77
R0052,Cautious Saver,42,2,1,4,3,4,3,0,1,0,0,1,0,1,5,5,5,5,5,5,4,4,5,4,3,3,10,5,4,5,6,5,10,2,10,4,2.38,3.0,4.17,2.81,3.56,7.0,3,0.8669
R0053,High-Earning Nomad,39,4,3,4,4,3,1,1,1,0,0,1,0,1,2,4,5,3,3,2,5,5,4,5,5,3,7,5,2,5,4,6,7,3,150,3,3.12,6.0,4.0,3.56,5.44,9.0,3,0.72
R0054,High-Earning Nomad,41,3,3,4,5,3,2,0,0,0,1,1,0,0,2,5,3,3,3,4,4,4,3,4,5,2,8,3,3,5,4,5,7,1,80,4,3.12,1.0,3.33,3.76,5.44,5.0,3,0.7081
R0055,Struggling Expat,34,1,5,4,3,1,5,0,0,0,1,1,1,1,5,4,5,3,3,5,4,4,4,4,2,2,4,5,5,4,3,4,7,4,30,6,4.38,0.0,4.33,4.59,8.16,6.0,4,0.5631
R0056,High-Earning Nomad,38,4,3,2,4,1,3,1,0,1,0,0,0,0,1,4,3,3,2,2,5,3,3,5,5,3,5,5,4,4,3,5,9,1,80,5,3.0,3.0,3.83,4.1,5.4,6.0,0,0.5931
R0057,Tech-Savvy Millennial,31,1,3,4,3,2,2,1,0,0,0,0,0,0,3,2,4,2,3,2,4,3,3,3,2,2,6,3,4,4,6,3,8,2,50,2,2.88,3.0,3.67,3.54,4.56,5.0,0,0.6019
R0058,Tech-Savvy Millennial,34,3,3,3,3,1,4,1,0,0,0,1,0,1,3,3,4,2,2,2,5,5,4,4,3,3,8,4,4,5,4,7,7,1,50,2,3.0,3.0,4.17,3.9,5.2,6.0,2,0.7969
R0059,Tech-Savvy Millennial,30,3,4,3,2,1,1,1,1,1,1,1,1,0,3,2,4,2,3,3,4,4,5,4,4,3,1,5,5,4,4,1,9,2,50,1,3.12,5.0,4.67,3.76,5.44,9.0,3,0.3919
R0060,Senior Finance Pro,42,4,4,5,4,3,1,1,0,1,1,1,1,1,2,3,2,2,2,2,4,5,5,3,3,3,5,5,4,4,5,2,6,2,80,3,2.0,2.0,4.0,3.0,3.0,9.0,5,0.56
R0061,Senior Finance Pro,47,5,5,4,3,2,2,0,1,0,1,1,0,1,3,3,5,1,2,2,4,2,4,4,4,3,4,4,4,2,5,6,4,4,50,2,2.75,4.0,3.5,3.48,4.5,7.0,4,0.535
R0062,Tech-Savvy Millennial,28,2,2,2,2,2,3,0,0,0,0,0,0,0,2,3,4,2,1,2,4,4,3,3,4,3,5,4,3,5,3,5,8,3,80,3,2.88,1.0,4.17,3.34,5.16,2.0,2,0.6169
R0063,Cautious Saver,39,4,2,4,2,1,3,1,0,0,0,0,0,1,2,3,2,2,1,2,5,5,4,4,4,2,5,4,4,4,5,2,7,2,10,2,2.25,3.0,3.83,3.32,3.5,5.0,3,0.5481
R0064,Senior Finance Pro,42,3,4,4,3,1,1,0,1,1,0,1,0,0,2,2,3,2,2,1,4,4,4,4,5,2,7,4,3,4,6,5,1,3,50,1,2.38,4.0,3.67,3.59,3.56,6.0,2,0.6819
R0065,Senior Finance Pro,39,3,4,5,3,3,3,0,0,0,1,1,1,0,2,2,2,3,2,1,4,4,4,4,3,3,6,3,1,4,4,3,6,1,80,4,2.0,1.0,3.17,2.81,3.2,5.0,4,0.5669
R0066,Struggling Expat,39,3,4,5,2,1,3,1,0,1,1,1,1,0,4,4,5,4,4,3,3,4,5,5,2,1,5,5,5,5,10,6,8,3,10,2,4.12,2.0,4.0,4.26,6.24,6.0,5,0.62
R0067,Tech-Savvy Millennial,28,3,2,1,3,2,3,1,0,1,1,0,0,0,3,1,3,5,4,4,5,4,3,4,3,2,6,4,4,3,5,3,5,1,50,2,3.5,3.0,3.5,3.85,6.0,5.0,1,0.59
R0068,Cautious Saver,45,5,5,2,2,3,2,0,0,0,0,1,1,1,4,3,3,2,3,2,4,4,3,3,3,1,5,4,5,3,4,4,7,5,0,1,3.0,1.0,3.67,3.1,5.2,5.0,5,0.5669
R0069,Tech-Savvy Millennial,28,2,2,2,3,2,2,0,1,0,1,0,0,1,2,2,4,3,2,2,3,4,5,3,3,3,7,3,4,4,3,4,8,4,30,3,2.75,4.0,3.67,3.48,4.9,7.0,2,0.6669
R0070,High-Earning Nomad,41,4,4,2,4,1,2,0,0,0,1,1,1,1,4,3,4,4,2,2,3,4,4,4,4,2,5,4,4,4,5,6,5,1,150,2,3.25,1.0,4.0,4.22,5.5,7.0,6,0.62
R0071,Cautious Saver,41,3,3,4,3,3,3,1,1,1,1,1,0,1,5,3,2,3,2,3,4,4,4,4,4,3,6,5,2,4,6,5,9,1,30,4,3.12,6.0,3.33,3.36,5.04,9.0,4,0.6081
R0072,Tech-Savvy Millennial,29,5,3,1,4,2,2,1,0,0,1,0,1,1,3,3,3,3,3,4,5,3,4,2,3,2,8,3,4,4,6,6,10,2,30,1,3.25,3.0,3.83,3.92,5.3,9.0,5,0.7581
R0073,Tech-Savvy Millennial,34,2,2,4,2,1,2,0,0,1,0,1,0,1,1,4,3,3,2,3,3,5,3,4,4,2,5,4,5,3,5,4,7,1,30,3,2.88,1.0,4.0,3.64,4.76,3.0,2,0.59
R0074,Cautious Saver,38,3,3,1,2,1,3,1,0,0,1,0,0,1,2,3,4,2,2,2,4,4,5,4,4,2,6,3,4,4,4,4,6,1,10,2,2.62,3.0,3.67,3.51,4.44,5.0,2,0.6169
R0075,Cautious Saver,40,3,4,3,2,1,3,0,0,0,1,1,1,0,3,4,3,3,1,3,3,3,4,4,3,3,7,3,5,4,5,2,6,4,30,2,3.12,0.0,3.67,3.76,5.24,4.0,5,0.6369
R0076,Cautious Saver,42,2,3,5,2,2,3,0,0,0,0,1,0,1,2,2,3,2,2,2,3,3,4,4,4,2,1,4,4,4,3,2,8,3,10,2,2.25,1.0,3.83,3.02,3.9,3.0,3,0.3481
R0077,Cautious Saver,42,3,3,4,3,2,3,0,0,0,1,0,0,1,2,3,3,4,2,3,3,3,4,5,4,3,4,3,4,4,6,3,3,4,50,4,3.0,1.0,3.83,3.6,4.8,4.0,3,0.5131
R0078,Tech-Savvy Millennial,35,3,4,5,3,3,2,1,1,0,1,1,0,1,4,3,3,4,1,4,4,4,4,3,3,2,6,4,2,4,5,2,8,1,50,3,3.0,6.0,3.67,3.3,5.0,9.0,4,0.5869
R0079,Senior Finance Pro,47,4,5,5,3,1,2,1,0,1,1,1,0,0,2,3,1,2,2,3,4,4,5,5,5,2,8,4,3,2,6,6,7,1,50,4,2.5,3.0,3.0,3.65,3.8,5.0,3,0.7
R0080,Tech-Savvy Millennial,30,5,3,2,3,4,2,1,1,1,0,1,0,0,4,4,3,3,2,2,4,5,4,3,3,1,7,4,4,4,4,3,8,4,10,1,3.25,6.0,4.0,3.12,5.7,8.0,1,0.675
R0081,High-Earning Nomad,45,3,4,1,5,2,3,1,1,0,1,1,1,1,2,5,4,3,5,5,4,5,4,4,5,2,5,5,5,5,5,6,6,2,80,4,4.12,6.0,4.0,4.56,7.24,9.0,6,0.62
R0082,Struggling Expat,34,3,4,4,3,1,3,0,0,0,0,0,0,0,4,4,5,3,3,2,3,5,3,5,2,3,4,5,4,4,3,3,7,2,30,2,3.88,1.0,4.5,4.34,7.16,3.0,2,0.56
R0083,Senior Finance Pro,44,3,4,5,3,1,2,0,1,0,1,1,0,1,3,3,3,3,3,3,5,3,4,4,4,4,5,3,3,3,4,4,7,2,80,4,3.0,4.0,3.83,3.9,5.2,7.0,4,0.5781
R0084,Tech-Savvy Millennial,33,2,2,4,3,1,1,0,1,0,1,1,1,0,3,2,5,2,1,2,4,4,4,3,4,2,7,5,3,3,5,6,7,2,10,4,3.0,4.0,3.67,3.9,5.0,8.0,3,0.6969
R0085,Senior Finance Pro,42,3,4,2,3,2,3,0,1,1,1,1,0,1,1,3,2,3,3,5,4,3,5,4,5,3,6,4,4,4,5,4,0,3,80,2,3.0,3.0,3.83,3.6,5.0,7.0,4,0.6281
R0086,Senior Finance Pro,44,3,5,5,3,1,2,1,0,0,1,1,1,1,1,2,3,4,2,2,4,4,4,5,4,3,7,2,3,5,5,5,5,2,50,2,2.38,2.0,3.67,3.59,3.76,8.0,6,0.6819
R0087,Cautious Saver,36,2,2,3,2,2,3,1,0,0,0,1,0,0,5,3,3,3,1,3,4,4,4,4,4,4,5,5,3,3,5,3,7,1,30,2,3.0,2.0,3.83,3.4,5.0,4.0,2,0.5631
R0088,Struggling Expat,35,2,3,4,2,1,4,1,0,1,1,0,1,1,4,1,4,4,4,3,4,5,4,4,2,3,5,4,4,3,4,2,7,3,30,1,3.62,3.0,4.0,4.01,6.44,7.0,3,0.56
R0089,High-Earning Nomad,36,3,4,5,4,1,1,1,0,0,1,1,1,1,5,4,3,4,2,2,4,5,4,5,5,2,5,4,2,4,6,2,7,3,150,5,3.5,3.0,3.5,4.35,5.8,9.0,4,0.525
R0090,Struggling Expat,35,2,4,2,4,1,3,0,0,1,1,1,0,1,3,5,3,4,3,3,4,4,5,5,3,2,4,4,3,5,2,3,6,4,30,2,3.75,1.0,3.83,4.47,7.1,5.0,4,0.5131
R0091,Tech-Savvy Millennial,30,2,3,4,3,2,2,0,0,0,0,0,1,1,2,3,4,2,2,3,4,4,3,2,4,2,6,2,5,5,6,4,6,2,50,1,2.88,1.0,4.0,3.54,4.56,6.0,4,0.64
R0092,Cautious Saver,36,3,3,3,2,1,3,0,0,0,1,0,0,1,4,2,4,3,1,3,4,3,4,3,3,2,7,4,4,3,4,5,8,1,50,2,2.88,1.0,3.67,3.64,4.96,3.0,2,0.6819
R0093,Cautious Saver,44,2,5,5,2,2,1,1,0,1,1,1,0,0,3,3,3,3,3,3,3,4,5,4,4,5,8,3,3,3,5,4,6,3,10,1,3.62,3.0,4.17,3.71,6.24,4.0,4,0.7519
R0094,Struggling Expat,30,5,2,2,3,1,4,0,0,0,1,1,0,1,5,4,5,4,5,3,5,5,3,5,4,2,6,5,3,4,10,3,5,3,10,6,4.38,0.0,3.67,4.59,6.76,4.0,4,0.6019
R0095,Cautious Saver,38,4,4,5,3,2,3,1,0,0,0,0,0,0,3,3,4,3,2,3,4,4,4,5,3,2,4,5,3,5,5,3,2,4,50,3,3.12,3.0,4.33,3.66,5.24,5.0,0,0.5481
R0096,Struggling Expat,37,3,1,1,2,1,3,0,1,0,1,0,0,0,2,3,5,4,5,4,5,4,5,4,3,3,5,3,4,5,4,5,5,4,10,2,4.12,4.0,4.17,4.26,7.44,5.0,3,0.6169
R0097,Struggling Expat,40,2,1,5,3,2,4,1,0,0,1,1,0,0,4,5,5,4,5,4,3,4,5,4,3,4,5,5,3,5,2,3,5,4,10,1,4.25,3.0,4.17,4.22,8.1,5.0,3,0.5869
R0098,Senior Finance Pro,50,5,4,5,4,1,2,1,1,0,0,0,1,1,2,1,2,2,4,2,4,4,5,5,4,3,6,4,4,3,4,4,5,3,80,2,2.5,6.0,3.83,3.85,4.2,9.0,3,0.6281
R0099,Tech-Savvy Millennial,32,4,4,3,3,2,1,0,1,0,1,1,1,1,5,5,5,5,5,5,4,5,3,5,3,1,10,4,5,5,5,3,10,1,50,3,3.38,4.0,3.83,3.79,5.76,9.0,4,0.8131
R0100,Tech-Savvy Millennial,31,3,2,2,3,1,2,0,1,0,1,0,0,1,4,3,4,2,3,2,4,5,4,3,4,1,5,4,5,3,4,4,7,2,30,4,3.12,4.0,3.83,3.96,5.44,7.0,4,0.5781
R0101,Tech-Savvy Millennial,30,2,2,3,2,1,1,1,1,1,0,1,0,0,3,4,4,2,3,2,5,5,5,3,3,2,9,4,4,3,5,9,6,3,30,4,3.12,6.0,3.5,3.76,5.24,7.0,3,0.83
R0102,Struggling Expat,34,3,2,2,3,1,4,1,0,0,0,0,1,0,3,4,4,2,4,4,3,4,5,5,2,2,5,5,5,4,3,4,5,4,30,2,3.75,3.0,4.17,4.28,6.9,7.0,2,0.6019
R0103,Senior Finance Pro,51,5,5,5,4,1,2,1,0,0,1,1,0,1,3,2,2,2,2,2,4,4,5,3,5,3,4,3,4,3,5,2,0,3,150,3,2.38,3.0,3.67,3.79,3.76,7.0,5,0.4869
R0104,Struggling Expat,31,3,3,2,3,1,3,0,0,1,1,1,1,1,3,4,3,3,3,5,3,5,3,5,3,1,3,4,4,3,1,2,7,3,30,2,3.88,1.0,3.67,4.34,7.56,6.0,4,0.4369
R0105,High-Earning Nomad,41,4,4,5,4,1,4,1,0,0,1,0,1,0,2,4,3,4,3,2,3,5,4,4,5,3,1,3,3,5,4,1,7,1,80,2,3.25,3.0,3.67,4.22,5.7,8.0,3,0.3219
R0106,Tech-Savvy Millennial,32,3,2,1,3,1,3,1,1,0,1,0,0,1,2,2,3,2,3,2,3,3,3,4,4,3,7,4,4,4,4,3,7,1,80,2,2.75,6.0,3.83,3.78,4.7,9.0,4,0.6631
R0107,Senior Finance Pro,46,3,3,3,3,3,1,0,0,0,1,0,1,0,2,1,2,1,1,3,2,5,5,4,4,2,7,3,3,3,1,1,8,1,80,4,2.0,0.0,3.83,2.81,3.8,5.0,3,0.6331
R0108,Cautious Saver,42,2,3,3,2,1,2,0,0,0,1,1,0,1,4,2,2,3,1,2,3,2,5,4,4,3,5,4,3,3,4,5,2,1,50,4,2.62,1.0,3.0,3.51,4.44,3.0,4,0.535
R0109,Tech-Savvy Millennial,36,3,5,3,4,1,2,0,0,0,0,1,0,1,4,2,4,3,3,2,4,3,4,4,3,2,6,4,4,4,4,3,8,2,50,1,3.25,1.0,4.0,4.22,5.7,5.0,3,0.625
R0110,Tech-Savvy Millennial,30,2,5,2,4,3,2,0,1,1,1,1,1,1,3,2,4,4,3,5,5,3,3,3,2,1,6,4,2,5,3,6,6,4,30,2,3.5,4.0,4.0,3.75,6.4,9.0,5,0.67
