Q1_AgeRaw,Q3_Education,Q5_IncomeTier_Imputed,Q7_YearsDubai,Q2_Gender_Label,Q4_Employment_Label,Q6_Nationality_Label,Q22_PricingModel_Label,Q2_Gender_1,Q2_Gender_2,Q2_Gender_3,Q2_Gender_4,Q4_Employment_1,Q4_Employment_2,Q4_Employment_3,Q4_Employment_4,Q4_Employment_5,Q6_Nationality_1,Q6_Nationality_2,Q6_Nationality_3,Q6_Nationality_4,Q6_Nationality_5,Q6_Nationality_6,Q6_Nationality_7,Q22_PricingModel_1,Q22_PricingModel_2,Q22_PricingModel_3,Q22_PricingModel_4,Q22_PricingModel_5,Q22_PricingModel_6,Q9_ReviewFrequency,Q10_NumCurrencies,Q12_SavingsPct,Q8_MobileBanking,Q8_DedicatedApp,Q11_Investment,Q11_Remittance,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q18_UAEBankIntegration,Q19_PrivacyConcern,Q23_Incentive,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_TrustRegulatory,Q27_CurrentSatisfaction,Derived_PainComposite,Derived_TechAffinity,Derived_AdoptionAttitude,Derived_FinancialStress,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Eng_WTPperPain,Flag_ValueSeeker,Flag_MultiCurrencyUser,Q21_WTP_AED,Q24_DownloadLikelihood,Respondent_ID
36,3,3,2,Male,Government,Other,AnnualSubscription,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,1,0,0,0,1,4,3,3,5,4,3,5,4,3,4,3,4,2,6,4,3,3,5,4,5,3.62,1.0,3.83,4.21,6.24,4.0,2,0.7881,13.81,1,0,50,8,R0011
38,4,3,3,Male,Freelancer,SouthAsian,AnnualSubscription,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,4,1,1,1,0,1,3,4,3,3,5,4,4,3,3,4,5,4,2,3,1,3,3,5,4,5,3.5,6.0,3.0,4.35,6.0,9.0,4,0.47,22.86,0,1,80,4,R0012
41,3,3,4,Female,PrivateSector,SouthAsian,MonthlySubscription,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,1,1,0,1,1,2,2,2,3,3,3,5,3,4,5,3,5,2,6,2,5,3,4,3,6,2.25,3.0,3.33,3.52,3.3,7.0,3,0.6231,22.22,0,0,50,6,R0013
32,2,3,2,Male,PrivateSector,EastAsian,FreeWithAds,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,1,1,0,0,3,2,3,3,4,3,5,3,3,5,1,4,2,6,4,4,3,5,2,4,3.38,6.0,3.5,4.09,5.96,8.0,0,0.765,23.67,0,0,80,8,R0014
38,3,2,5,Male,Freelancer,SouthAsian,Freemium,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,3,1,0,0,1,1,3,4,2,3,3,4,5,3,4,3,5,2,2,4,5,3,4,4,5,2.75,3.0,4.0,3.18,4.5,5.0,3,0.67,18.18,0,0,50,6,R0015
28,2,5,2,Female,PrivateSector,EastAsian,AnnualSubscription,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,1,1,1,0,1,3,3,4,2,5,5,4,4,4,3,4,3,2,4,3,4,4,4,4,3,3.12,6.0,4.0,3.76,5.64,7.0,3,0.735,25.64,0,0,80,7,R0016
45,4,3,5,Male,Government,SouthAsian,Freemium,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,2,0,0,1,0,1,3,3,3,4,3,3,3,5,5,5,5,2,3,4,4,2,4,4,3,3.0,1.0,3.33,3.6,5.4,5.0,2,0.6231,0.0,0,0,0,6,R0017
32,3,3,3,Male,PrivateSector,EastAsian,MonthlySubscription,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,2,1,0,0,1,4,5,5,5,5,6,4,5,5,5,3,3,3,2,5,5,3,4,4,3,4.25,3.0,4.17,4.03,7.9,4.0,2,0.6169,7.06,0,0,30,5,R0018
43,3,5,5,Male,BusinessOwner,SouthAsian,Freemium,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,4,2,0,0,1,1,2,2,3,2,4,4,4,5,3,3,4,4,2,5,4,3,3,4,5,6,2.5,1.0,3.83,3.55,3.8,7.0,5,0.6581,32.0,0,1,80,6,R0019
47,5,5,4,Female,Government,EastAsian,MonthlySubscription,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,1,1,0,0,0,2,2,3,2,4,3,3,4,5,4,4,5,2,3,4,4,3,4,5,5,2.25,3.0,4.0,3.52,3.5,6.0,3,0.735,22.22,0,0,50,7,R0020
36,1,2,4,Female,PrivateSector,EastAsian,Freemium,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,5,5,5,5,5,6,3,5,4,4,3,5,3,2,4,3,3,5,5,1,3.75,1.0,4.17,4.08,7.3,2.0,2,0.9419,8.0,1,0,30,10,R0021
34,5,5,2,Male,PrivateSector,SouthAsian,Freemium,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,2,1,1,1,0,4,3,3,2,5,4,4,5,4,5,3,4,3,1,4,4,4,4,3,6,3.12,6.0,4.0,3.66,5.04,9.0,5,0.735,16.03,0,0,50,7,R0022
41,3,4,4,Female,Freelancer,SouthAsian,AnnualSubscription,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,4,0,0,0,0,4,2,2,3,2,5,4,4,4,5,3,5,3,3,4,3,3,4,3,4,2.62,1.0,3.67,2.81,4.44,4.0,3,0.6469,57.25,0,0,150,6,R0023
43,3,4,3,Male,Freelancer,SouthAsian,AnnualSubscription,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,2,0,1,1,1,2,1,3,1,3,3,3,3,5,4,5,4,3,4,3,4,3,4,4,5,2.0,4.0,3.5,3.04,3.0,9.0,4,0.635,40.0,0,0,80,6,R0024
47,2,3,5,Female,PrivateSector,Other,Freemium,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,1,0,0,0,1,1,2,3,1,3,3,2,5,5,4,5,5,2,4,4,4,3,4,4,5,2.38,0.0,3.83,3.59,3.76,3.0,1,0.7881,33.61,0,0,80,8,R0025
52,5,3,4,Male,BusinessOwner,SouthAsian,Freemium,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,0,1,4,3,3,2,3,3,2,4,4,3,4,5,3,5,3,4,4,3,4,4,3.0,3.0,3.5,3.9,5.2,7.0,5,0.635,10.0,0,0,30,6,R0026
31,2,4,2,Male,PrivateSector,SouthAsian,Freemium,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,0,1,1,3,3,3,3,3,4,4,4,3,5,4,4,1,4,3,3,3,3,3,10,3.62,3.0,4.17,4.21,5.24,7.0,2,0.6819,13.81,1,0,50,6,R0027
34,2,3,4,Female,PrivateSector,Emirati,Freemium,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,1,0,3,4,5,3,5,5,4,5,4,5,3,4,3,2,3,3,5,2,5,2,4.0,1.0,3.83,4.2,7.6,5.0,4,0.5281,7.5,1,0,30,4,R0028
36,2,4,2,Male,PartTime,SouthAsian,Freemium,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,1,0,3,1,5,5,5,5,4,5,3,5,2,5,2,4,5,3,3,5,5,3,4.12,3.0,4.17,4.26,7.64,7.0,3,0.6819,12.14,1,0,50,6,R0029
29,3,3,3,Male,BusinessOwner,ArabExpat,MonthlySubscription,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,2,5,4,1,3,3,4,4,3,2,4,5,2,1,4,5,4,4,4,6,2.88,3.0,4.17,3.64,4.56,5.0,4,0.6819,10.42,0,0,30,6,R0030
37,2,1,5,Female,Freelancer,Other,Freemium,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,3,1,0,0,0,1,3,5,5,3,5,6,5,5,4,5,4,5,2,1,4,4,4,5,5,2,4.0,1.0,4.5,4.4,7.6,4.0,4,0.51,2.5,0,0,10,3,R0031
26,2,1,1,NonBinary,BusinessOwner,ArabExpat,Freemium,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,2,0,1,0,1,3,3,2,2,3,3,5,4,4,3,4,4,1,6,4,4,4,4,3,3,2.62,4.0,3.67,3.41,4.64,6.0,1,0.7119,30.53,0,0,80,7,R0032
30,2,3,3,Male,PrivateSector,EastAsian,Freemium,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,2,1,1,0,0,4,3,2,2,3,4,4,4,3,4,4,4,2,4,4,5,5,4,4,4,2.88,5.0,4.5,3.34,4.96,8.0,2,0.835,10.42,0,0,30,8,R0033
35,3,5,2,Male,BusinessOwner,ArabExpat,AnnualSubscription,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,4,1,1,0,1,0,2,2,3,1,4,5,3,5,3,4,5,4,1,3,4,4,3,5,4,4,2.88,3.0,4.0,4.04,4.96,8.0,2,0.735,27.78,0,1,80,7,R0034
43,3,5,1,Male,Government,Emirati,OneTimePurchase,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,1,1,1,1,3,3,3,3,4,5,5,4,4,5,5,4,1,4,4,3,4,5,4,4,3.12,6.0,4.0,4.36,5.44,9.0,5,0.54,25.64,0,1,80,4,R0035
39,3,3,4,Male,PrivateSector,SouthAsian,MonthlySubscription,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,1,4,2,4,1,3,3,4,3,5,3,3,4,2,4,3,3,2,2,4,4,2.75,1.0,3.0,3.78,4.7,4.0,3,0.535,10.91,0,0,30,5,R0036
44,5,4,5,Male,PrivateSector,ArabExpat,MonthlySubscription,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,2,1,0,1,0,3,2,2,3,3,2,4,3,5,4,3,4,3,2,3,4,4,5,4,6,2.38,3.0,4.0,3.49,3.56,9.0,4,0.735,21.01,0,1,50,7,R0037
29,2,3,1,Female,PrivateSector,Other,PayPerFeature,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,1,0,1,4,4,3,2,3,4,4,3,5,4,3,5,1,3,4,2,5,3,4,5,3.12,4.0,3.67,3.96,5.24,7.0,3,0.7119,16.03,0,0,50,7,R0038
36,2,2,4,PreferNotSay,PrivateSector,African,MonthlySubscription,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,1,0,1,0,1,3,3,5,4,4,6,3,5,4,5,3,4,2,1,4,3,5,4,4,3,3.88,4.0,4.0,4.34,7.16,7.0,3,0.54,2.58,0,0,10,4,R0039
48,3,4,5,Male,PrivateSector,SouthAsian,OneTimePurchase,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0,2,3,3,3,2,4,2,4,3,5,3,3,3,3,3,3,3,5,5,2,2.5,3.0,3.83,3.65,4.6,5.0,1,0.5931,32.0,0,0,80,5,R0040
32,5,2,4,Male,PrivateSector,SouthAsian,Freemium,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,2,1,0,1,0,5,2,4,3,3,3,5,3,4,4,3,3,1,2,3,5,4,4,3,2,3.25,3.0,3.83,3.72,6.1,8.0,5,0.6581,9.23,0,0,30,6,R0041
42,5,2,2,Male,PrivateSector,SouthAsian,PayPerFeature,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,5,5,5,3,5,5,5,4,4,5,4,4,1,4,5,4,4,3,4,4,4.12,1.0,4.17,4.26,7.44,3.0,4,0.6819,2.43,0,0,10,6,R0042
32,4,2,4,Male,Government,Other,Freemium,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,1,1,0,1,5,5,5,5,5,4,5,4,5,3,4,5,1,4,4,4,4,5,4,5,2.38,6.0,4.17,3.39,3.76,8.0,2,0.9419,33.61,0,0,80,10,R0043
44,3,4,5,Female,Government,African,Freemium,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,0,0,0,1,3,2,4,2,4,5,4,4,3,4,5,4,1,1,4,5,2,4,4,4,3.25,1.0,3.83,4.22,5.7,5.0,3,0.5931,46.15,0,1,150,5,R0044
29,2,1,3,Male,PrivateSector,EastAsian,Freemium,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,2,1,0,0,1,3,3,3,2,4,3,4,3,4,3,3,5,2,3,4,5,3,5,4,6,3.25,3.0,4.33,3.72,5.3,6.0,4,0.8881,15.38,0,0,50,9,R0045
46,2,3,5,Male,Freelancer,SouthAsian,Freemium,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,2,5,4,3,5,3,3,5,3,5,3,5,3,3,5,3,3,4,5,3,4.12,1.0,4.17,4.46,7.64,4.0,4,0.5519,2.43,1,0,10,4,R0046
46,3,4,5,Female,BusinessOwner,ArabExpat,MonthlySubscription,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,2,1,0,0,1,2,3,2,2,4,4,4,4,5,5,4,5,2,4,2,4,4,4,5,4,2.62,3.0,3.67,3.61,4.44,7.0,5,0.7769,57.25,0,1,150,8,R0047
36,2,5,1,Male,Freelancer,ArabExpat,FreeWithAds,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,1,0,1,1,1,4,4,5,4,5,4,3,3,4,5,2,5,2,1,4,4,3,4,4,1,4.5,3.0,3.67,4.6103,8.56,9.0,5,0.6469,2.22,0,0,10,6,R0048
38,3,2,4,Female,PrivateSector,SouthAsian,Freemium,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,4,4,4,3,5,4,3,4,5,5,3,5,2,1,4,5,4,5,4,2,4.25,1.0,4.33,4.32,8.1,3.0,2,0.7581,0.0,0,0,0,7,R0049
35,5,3,3,Male,Freelancer,ArabExpat,Freemium,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,1,1,1,0,1,3,2,2,3,3,3,4,5,5,4,4,5,2,3,4,5,5,4,4,6,2.75,6.0,4.33,3.78,4.3,9.0,3,0.7581,18.18,0,0,50,7,R0050
42,5,4,4,Female,PrivateSector,Emirati,Freemium,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,1,1,1,0,1,2,4,3,4,6,4,5,3,4,2,2,2,2,3,4,5,5,5,2,2.88,6.0,4.0,4.24,5.36,9.0,4,0.8,17.36,0,1,50,8,R0051
42,2,1,4,NonBinary,PrivateSector,SouthAsian,AnnualSubscription,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,4,0,1,0,0,5,5,5,5,5,3,4,4,5,4,3,5,3,1,5,4,3,5,3,6,2.38,3.0,4.17,2.81,3.56,7.0,3,0.9419,4.2,0,0,10,10,R0052
39,4,3,4,Female,Government,African,MonthlySubscription,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,3,1,1,0,0,2,4,5,3,3,4,5,5,4,5,5,4,3,3,5,2,5,5,4,4,3.12,6.0,4.0,3.56,5.44,9.0,3,0.735,48.08,0,1,150,7,R0053
41,3,3,4,NonBinary,BusinessOwner,EastAsian,AnnualSubscription,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,3,0,0,0,1,2,5,3,3,2,4,4,4,3,4,5,4,2,3,3,3,2,5,3,4,3.12,1.0,3.33,3.76,5.44,5.0,3,0.7531,25.64,0,1,80,8,R0054
34,1,5,4,Male,PrivateSector,SouthAsian,PayPerFeature,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,1,0,0,1,1,5,4,5,3,5,4,4,4,4,4,2,5,2,1,5,5,3,4,4,3,4.38,0.0,4.33,4.59,8.16,6.0,4,0.5631,6.85,0,0,30,4,R0055
38,4,3,2,Male,PrivateSector,ArabExpat,OneTimePurchase,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,4,1,1,0,0,0,1,4,3,2,4,4,5,3,3,5,5,5,3,4,5,4,5,4,3,3,3.0,3.0,3.83,4.1,5.4,6.0,0,0.5931,26.67,0,1,80,5,R0056
31,1,3,4,Female,PrivateSector,SouthAsian,Freemium,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,2,1,0,0,0,3,2,4,3,4,6,4,3,3,3,2,4,2,3,3,4,4,4,3,6,2.88,3.0,3.67,3.54,4.56,5.0,0,0.6469,17.36,0,0,50,6,R0057
34,3,3,3,Female,BusinessOwner,EastAsian,Freemium,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,1,1,0,0,0,3,3,4,2,4,3,5,5,4,4,3,4,3,6,4,4,4,5,4,4,3.0,3.0,4.17,3.9,5.2,6.0,2,0.8119,16.67,0,0,50,8,R0058
30,3,4,3,Male,Government,EastAsian,FreeWithAds,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,3,2,4,3,4,5,4,4,5,4,4,4,3,2,5,5,5,4,4,4,3.12,5.0,4.67,3.76,5.44,9.0,3,0.3919,16.03,0,0,50,1,R0059
42,4,4,5,Male,PrivateSector,EastAsian,MonthlySubscription,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,3,1,0,1,1,2,3,2,2,1,3,4,5,5,3,3,5,3,2,5,4,4,4,4,5,2.0,2.0,4.0,3.0,3.0,9.0,5,0.605,40.0,0,1,80,5,R0060
47,5,5,4,Male,Government,EastAsian,Freemium,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,2,0,1,0,1,3,3,5,2,3,3,4,2,4,4,4,5,3,3,4,4,3,2,3,5,2.75,4.0,3.5,3.48,4.5,7.0,4,0.505,18.18,0,0,50,4,R0061
28,2,2,2,Male,PrivateSector,SouthAsian,MonthlySubscription,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,0,2,3,4,1,5,5,4,4,3,3,4,4,3,3,4,3,4,5,4,3,2.88,1.0,4.17,3.34,5.16,2.0,2,0.6169,27.78,0,0,80,5,R0062
39,4,2,4,Male,Government,SouthAsian,Freemium,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,1,1,0,0,0,2,3,2,1,3,2,5,5,4,4,4,5,2,2,4,4,3,4,5,5,2.25,3.0,3.83,3.32,3.5,5.0,3,0.5931,4.44,0,0,10,5,R0063
42,3,4,4,Female,PrivateSector,ArabExpat,FreeWithAds,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0,2,2,3,2,4,3,4,4,4,4,5,5,2,3,4,3,2,4,5,6,2.38,4.0,3.67,3.59,3.56,6.0,2,0.7119,21.01,0,0,50,7,R0064
39,3,4,5,Male,BusinessOwner,SouthAsian,AnnualSubscription,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,0,1,1,2,2,2,2,2,3,4,4,4,4,3,4,3,5,3,1,4,4,4,4,2.0,1.0,3.17,2.81,3.2,5.0,4,0.6119,40.0,0,0,80,6,R0065
39,3,4,5,Male,PrivateSector,EastAsian,Freemium,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,1,0,1,1,4,4,5,4,5,4,3,4,5,5,2,4,1,1,5,5,2,5,4,10,4.12,2.0,4.0,4.26,6.24,6.0,5,0.605,2.43,0,0,10,5,R0066
28,3,2,1,Male,Freelancer,SouthAsian,Freemium,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,2,1,0,0,1,3,1,3,4,4,4,5,4,3,4,3,5,2,3,4,4,3,3,2,5,3.5,3.0,3.5,3.85,6.0,5.0,1,0.635,14.29,1,0,50,6,R0067
45,5,5,2,Female,PrivateSector,SouthAsian,FreeWithAds,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,3,0,0,1,0,4,3,3,3,4,3,4,4,3,3,3,5,1,4,4,5,3,3,4,4,3.0,1.0,3.67,3.1,5.2,5.0,5,0.5819,0.0,0,0,0,5,R0068
28,2,2,2,Female,PrivateSector,SouthAsian,MonthlySubscription,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,2,0,1,0,1,2,2,4,2,3,4,3,4,5,3,3,4,3,6,3,4,4,4,3,3,2.75,4.0,3.67,3.48,4.9,7.0,2,0.7119,10.91,0,0,30,7,R0069
41,4,4,2,Female,Government,Other,Freemium,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,1,0,0,1,1,4,3,4,2,4,4,3,4,4,4,4,4,2,5,4,4,5,4,2,5,3.25,1.0,4.0,4.22,5.5,7.0,6,0.605,46.15,0,1,150,5,R0070
