Q1_AgeRaw,Q3_Education,Q5_IncomeTier_Imputed,Q7_YearsDubai,Q2_Gender_Label,Q4_Employment_Label,Q6_Nationality_Label,Q2_Gender_1,Q2_Gender_2,Q2_Gender_3,Q2_Gender_4,Q4_Employment_1,Q4_Employment_2,Q4_Employment_3,Q4_Employment_4,Q4_Employment_5,Q6_Nationality_1,Q6_Nationality_2,Q6_Nationality_3,Q6_Nationality_4,Q6_Nationality_5,Q6_Nationality_6,Q6_Nationality_7,Q9_ReviewFrequency,Q10_NumCurrencies,Q12_SavingsPct,Q8_Spreadsheet,Q8_MobileBanking,Q8_DedicatedApp,Q8_Paper,Q8_NoTracking,Q11_Remittance,Q11_FX,Q11_Ecommerce,Q11_Investment,Q11_BillSplit,Q11_Subscriptions,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q13_HealthUnderstanding,Q13_Overspent,Q14_BiggestChallenge,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q16_HealthDashboard,Q18_UAEBankIntegration,Q18_RemittancePlatform,Q19_PrivacyConcern,Q17_InterfacePref_Label,Q17_InterfacePref_1,Q17_InterfacePref_2,Q17_InterfacePref_3,Q17_InterfacePref_4,Q17_InterfacePref_5,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_LikelySwitch,Q26_TrustRegulatory,Q24_DownloadLikelihood,Q31_ConfidenceAI,Q27_CurrentSatisfaction,Derived_PainComposite,Derived_TechAffinity,Derived_AdoptionAttitude,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Flag_ValueSeeker,Flag_MultiCurrencyUser,Q20_WTP_Binary
47,5,5,4,Female,Government,EastAsian,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,1,0,1,0,0,0,0,1,1,0,0,1,2,2,3,1,2,4,2,2,6,3,3,4,5,4,4,5,5,3,2,WebOnly,0,1,0,0,0,4,4,3,4,4,5,7,6,5,2.25,3.0,4.0,3.5,6.0,3,0.72,0,0,0
36,1,2,4,Female,PrivateSector,EastAsian,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,0,0,0,0,5,5,5,5,5,5,5,5,1,6,3,5,4,4,3,4,5,4,3,WhatsApp,0,0,0,1,0,4,3,3,5,5,5,10,2,1,3.75,1.0,4.17,7.3,2.0,2,0.8219,1,0,1
34,5,5,2,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,1,1,0,0,0,1,1,1,1,1,4,3,3,2,2,5,1,5,2,4,4,5,4,5,3,4,4,4,3,NoPreference,0,0,0,0,1,4,4,4,4,5,3,7,5,6,3.12,6.0,4.0,5.04,9.0,5,0.705,0,0,1
41,3,4,4,Female,Freelancer,SouthAsian,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,4,1,0,0,0,0,0,0,1,0,1,1,4,2,2,2,3,2,4,2,6,5,4,4,4,5,3,4,5,5,3,Both,0,0,1,0,0,4,3,3,4,5,3,6,3,4,2.62,1.0,3.67,4.44,4.0,3,0.6019,0,0,1
43,3,4,3,Male,Freelancer,SouthAsian,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,2,0,0,1,0,0,1,0,1,1,0,1,2,1,3,2,1,3,2,1,3,3,3,3,5,4,5,5,4,4,3,Both,0,0,1,0,0,3,4,3,4,3,4,6,2,5,2.0,4.0,3.5,3.0,9.0,4,0.575,0,0,1
47,2,3,5,Female,PrivateSector,Other,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,1,1,0,0,0,0,0,1,2,3,3,1,3,3,3,6,3,2,5,5,4,5,5,5,4,2,WhatsApp,0,0,0,1,0,4,4,3,4,4,4,8,7,5,2.38,0.0,3.83,3.76,3.0,1,0.7731,0,0,1
52,5,3,4,Male,BusinessOwner,SouthAsian,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,1,0,1,0,1,1,1,1,0,1,1,4,3,3,4,2,3,3,2,6,3,2,4,4,3,4,5,5,4,3,MobileOnly,1,0,0,0,0,3,4,4,3,3,4,6,3,4,3.0,3.0,3.5,5.2,7.0,5,0.59,0,0,1
31,2,4,2,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,1,0,0,3,3,3,3,3,3,3,3,7,4,4,4,3,5,4,5,4,5,1,WhatsApp,0,0,0,1,0,3,3,3,3,3,3,6,5,10,3.62,3.0,4.17,5.24,7.0,2,0.6669,1,0,1
34,2,3,4,Female,PrivateSector,Emirati,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,1,1,1,1,3,4,5,3,3,5,4,5,3,5,4,5,4,5,3,4,4,5,3,MobileOnly,1,0,0,0,0,3,3,5,2,5,5,4,4,2,4.0,1.0,3.83,7.6,5.0,4,0.5281,1,0,1
36,2,4,2,Male,PartTime,SouthAsian,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0,1,0,1,0,1,3,1,5,5,5,5,4,5,2,5,4,5,3,5,2,5,5,5,2,Both,0,0,1,0,0,5,3,3,5,4,5,6,4,3,4.12,3.0,4.17,7.64,7.0,3,0.6519,1,0,1
29,3,3,3,Male,BusinessOwner,ArabExpat,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,1,0,0,1,1,2,5,4,3,1,3,1,4,4,3,4,4,3,2,4,4,5,3,2,Both,0,0,1,0,0,4,5,4,4,4,4,6,3,6,2.88,3.0,4.17,4.56,5.0,4,0.6369,0,0,1
37,2,1,5,Female,Freelancer,Other,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,1,1,0,0,0,0,1,0,1,0,1,1,3,5,5,4,3,5,2,5,3,6,5,5,4,5,4,3,5,5,2,Both,0,0,1,0,0,4,4,4,5,5,5,3,4,2,4.0,1.0,4.5,7.6,4.0,4,0.525,0,0,0
26,2,1,1,NonBinary,BusinessOwner,ArabExpat,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,2,0,0,1,0,0,1,0,0,0,0,0,3,3,2,1,2,3,2,5,4,3,5,4,4,3,4,4,4,4,1,Both,0,0,1,0,0,4,4,4,4,3,3,7,2,3,2.62,4.0,3.67,4.64,6.0,1,0.6369,0,0,1
30,2,3,3,Male,PrivateSector,EastAsian,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,1,1,0,1,0,1,0,0,0,1,4,3,2,3,2,3,2,4,3,4,4,4,3,4,4,4,4,5,2,Both,0,0,1,0,0,4,5,5,4,5,4,8,6,4,2.88,5.0,4.5,4.96,8.0,2,0.805,0,0,1
35,3,5,2,Male,BusinessOwner,ArabExpat,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,1,1,0,2,2,3,4,1,4,3,4,3,5,3,5,3,4,5,3,4,5,1,Both,0,0,1,0,0,4,4,3,5,4,4,7,8,4,2.88,3.0,4.0,4.96,8.0,2,0.75,0,1,1
43,3,5,1,Male,Government,Emirati,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,5,1,1,1,1,1,0,1,1,1,1,0,1,3,3,3,4,3,4,2,3,2,5,5,4,4,5,5,3,4,5,1,Both,0,0,1,0,0,4,3,4,5,4,4,4,5,4,3.12,6.0,4.0,5.44,9.0,5,0.555,0,1,1
39,3,3,4,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,1,0,1,0,0,1,4,2,4,3,1,3,2,3,4,3,4,3,5,3,3,3,4,4,2,NoPreference,0,0,0,0,1,3,3,2,2,2,4,5,2,4,2.75,1.0,3.0,4.7,4.0,3,0.49,0,0,1
44,5,4,5,Male,PrivateSector,ArabExpat,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,4,2,0,1,0,0,0,0,1,1,1,0,1,3,2,2,1,3,3,2,3,2,2,4,3,5,4,3,4,4,3,3,NoPreference,0,0,0,0,1,3,4,4,5,4,4,7,7,6,2.38,3.0,4.0,3.56,9.0,4,0.735,0,1,1
29,2,3,1,Female,PrivateSector,Other,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,1,1,0,0,0,1,4,4,3,2,2,3,3,4,2,4,4,3,5,4,3,4,5,4,1,WebOnly,0,1,0,0,0,4,2,5,3,4,4,7,3,5,3.12,4.0,3.67,5.24,7.0,3,0.6519,0,0,1
36,2,2,4,PreferNotSay,PrivateSector,African,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,3,1,0,0,1,0,0,1,0,1,0,0,1,3,3,5,3,4,4,5,4,3,6,3,5,4,5,3,3,4,4,2,Both,0,0,1,0,0,4,3,5,4,4,4,4,2,3,3.88,4.0,4.0,7.16,7.0,3,0.51,0,0,0
48,3,4,5,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,1,0,0,0,2,3,3,3,3,2,2,2,4,4,2,4,3,5,3,4,3,3,3,Both,0,0,1,0,0,3,3,3,5,4,5,5,4,2,2.5,3.0,3.83,4.6,5.0,1,0.5781,0,0,0
32,5,2,4,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,2,0,1,0,0,0,0,1,1,1,1,1,5,2,4,2,3,3,3,4,3,3,5,3,4,4,3,4,3,5,1,Both,0,0,1,0,0,3,5,4,4,4,3,6,3,2,3.25,3.0,3.83,6.1,8.0,5,0.6131,0,0,0
42,5,2,2,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,1,0,0,1,5,5,5,2,3,5,3,5,4,5,5,4,4,5,4,4,4,4,1,WhatsApp,0,0,0,1,0,5,4,4,3,5,4,6,3,4,4.12,1.0,4.17,7.44,3.0,4,0.6369,0,0,0
32,4,2,4,Male,Government,Other,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1,5,5,5,5,5,5,5,5,2,4,5,4,5,3,4,4,5,3,1,Both,0,0,1,0,0,4,4,4,5,4,4,10,5,5,2.38,6.0,4.17,3.76,8.0,2,0.8669,0,0,1
44,3,4,5,Female,Government,African,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,1,0,1,0,0,1,3,2,4,3,2,4,3,5,3,5,4,4,3,4,5,5,4,4,1,Both,0,0,1,0,0,4,5,2,4,4,4,5,4,4,3.25,1.0,3.83,5.7,5.0,3,0.5781,0,1,1
29,2,1,3,Male,PrivateSector,EastAsian,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,2,0,1,0,0,0,1,1,1,0,0,1,3,3,3,3,2,4,3,5,1,3,4,3,4,3,3,5,5,4,2,Both,0,0,1,0,0,4,5,3,5,5,4,9,6,6,3.25,3.0,4.33,5.3,6.0,4,0.8431,0,0,0
46,2,3,5,Male,Freelancer,SouthAsian,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,3,1,0,0,0,0,0,1,1,0,0,1,1,2,5,4,4,3,5,5,5,3,3,3,5,3,5,3,3,5,5,3,Both,0,0,1,0,0,5,3,3,4,5,5,4,2,3,4.12,1.0,4.17,7.64,4.0,4,0.5219,1,0,1
46,3,4,5,Female,BusinessOwner,ArabExpat,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,4,2,1,1,0,0,0,1,1,1,0,1,1,2,3,2,3,2,4,3,2,4,4,4,4,5,5,4,5,5,4,2,MobileOnly,1,0,0,0,0,2,4,4,4,3,5,8,4,4,2.62,3.0,3.67,4.44,7.0,5,0.7169,0,1,0
36,2,5,1,Male,Freelancer,ArabExpat,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,1,1,0,1,0,1,1,1,1,1,0,1,4,4,5,5,4,5,5,5,3,4,3,3,4,5,2,5,5,5,2,WebOnly,0,1,0,0,0,4,4,3,4,3,4,6,1,1,4.5,3.0,3.67,8.56,9.0,5,0.5719,0,0,0
38,3,2,4,Female,PrivateSector,SouthAsian,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,4,4,4,5,3,5,4,5,1,4,3,4,5,5,3,4,5,5,2,WhatsApp,0,0,0,1,0,4,5,4,5,4,4,7,3,2,4.25,1.0,4.33,8.1,3.0,2,0.6981,0,0,0
35,5,3,3,Male,Freelancer,ArabExpat,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,0,1,1,0,0,1,1,0,0,0,1,3,2,2,2,3,3,2,5,4,3,4,5,5,4,4,5,5,3,2,Both,0,0,1,0,0,4,5,5,4,4,4,7,7,6,2.75,6.0,4.33,4.3,9.0,3,0.7581,0,0,1
42,5,4,4,Female,PrivateSector,Emirati,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,5,1,1,1,1,0,0,0,0,1,1,1,1,1,2,4,2,3,4,4,3,2,6,4,5,3,4,2,4,2,3,2,Both,0,0,1,0,0,3,4,5,5,2,5,8,6,2,2.88,6.0,4.0,5.36,9.0,4,0.77,0,1,0
42,2,1,4,NonBinary,PrivateSector,SouthAsian,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,4,0,0,1,0,1,0,1,0,0,1,1,5,5,5,5,5,5,5,5,2,3,4,4,5,4,3,4,5,2,3,Both,0,0,1,0,0,5,4,3,5,5,3,10,5,6,2.38,3.0,4.17,3.56,7.0,3,0.8669,0,0,1
39,4,3,4,Female,Government,African,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,3,0,1,1,0,0,0,1,0,0,1,1,2,4,5,3,3,3,2,3,7,4,5,5,4,5,5,3,4,4,3,Both,0,0,1,0,0,5,2,5,5,3,4,7,6,4,3.12,6.0,4.0,5.44,9.0,3,0.72,0,1,0
41,3,3,4,NonBinary,BusinessOwner,EastAsian,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,3,0,0,0,0,0,1,1,1,0,0,0,2,5,3,3,3,2,4,3,6,4,4,4,3,4,5,3,4,4,2,NoPreference,0,0,0,0,1,3,3,2,5,4,3,8,5,4,3.12,1.0,3.33,5.44,5.0,3,0.7081,0,1,1
34,1,5,4,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,1,1,1,1,0,1,0,1,5,4,5,3,3,5,5,5,1,4,4,4,4,4,2,4,5,5,2,WhatsApp,0,0,0,1,0,5,5,3,4,5,4,4,4,3,4.38,0.0,4.33,8.16,6.0,4,0.5631,0,0,0
38,4,3,2,Male,PrivateSector,ArabExpat,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,4,1,1,1,0,0,0,0,0,0,0,0,0,1,4,3,3,2,4,2,5,4,4,5,3,3,5,5,5,5,4,3,MobileOnly,1,0,0,0,0,5,4,5,4,2,3,5,5,3,3.0,3.0,3.83,5.4,6.0,0,0.5931,0,1,1
31,1,3,4,Female,PrivateSector,SouthAsian,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,3,2,4,2,3,4,2,3,3,6,4,3,3,3,2,5,4,5,2,Both,0,0,1,0,0,3,4,4,4,4,3,6,3,6,2.88,3.0,3.67,4.56,5.0,0,0.6019,0,0,1
34,3,3,3,Female,BusinessOwner,EastAsian,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,3,1,0,1,0,0,0,0,1,0,0,0,1,3,3,4,2,2,4,2,4,2,3,5,5,4,4,3,3,4,4,3,Both,0,0,1,0,0,4,4,4,5,4,4,8,7,4,3.0,3.0,4.17,5.2,6.0,2,0.7969,0,0,1
30,3,4,3,Male,Government,EastAsian,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,1,1,0,1,0,0,3,2,4,2,3,4,3,4,4,5,4,4,5,4,4,5,4,4,3,Both,0,0,1,0,0,5,5,5,4,5,4,1,1,4,3.12,5.0,4.67,5.44,9.0,3,0.3919,0,0,1
42,4,4,5,Male,PrivateSector,EastAsian,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,3,1,1,0,0,1,1,1,1,1,0,1,2,3,2,2,2,1,2,2,3,3,4,5,5,3,3,4,5,4,3,MobileOnly,1,0,0,0,0,5,4,4,4,3,4,5,2,5,2.0,2.0,4.0,3.0,9.0,5,0.56,0,1,1
47,5,5,4,Male,Government,EastAsian,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,1,0,0,1,1,1,0,0,1,3,3,5,1,2,3,2,3,6,3,4,2,4,4,4,5,5,3,3,Both,0,0,1,0,0,4,4,3,2,5,3,4,6,5,2.75,4.0,3.5,4.5,7.0,4,0.535,0,0,0
28,2,2,2,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,0,1,0,2,3,4,2,1,5,2,4,4,5,4,4,3,3,4,4,4,3,3,MobileOnly,1,0,0,0,0,4,3,4,5,5,4,5,5,3,2.88,1.0,4.17,5.16,2.0,2,0.6169,0,0,0
39,4,2,4,Male,Government,SouthAsian,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,1,0,1,1,2,3,2,2,1,3,2,3,4,2,5,5,4,4,4,4,5,3,2,Both,0,0,1,0,0,4,4,3,4,3,5,5,2,5,2.25,3.0,3.83,3.5,5.0,3,0.5481,0,0,1
42,3,4,4,Female,PrivateSector,ArabExpat,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,1,0,0,0,1,1,0,0,0,2,2,3,2,2,4,1,3,3,3,4,4,4,4,5,5,5,4,2,MobileOnly,1,0,0,0,0,4,3,2,4,4,5,7,5,6,2.38,4.0,3.67,3.56,6.0,2,0.6819,0,0,0
