Respondent_ID,Persona_Cluster,Q1_AgeGroup,Q1_AgeRaw,Q2_Gender,Q3_Education,Q4_Employment,Q5_IncomeTier,Q6_Nationality,Q7_YearsDubai,Q8_Spreadsheet,Q8_MobileBanking,Q8_DedicatedApp,Q8_Paper,Q8_NoTracking,Q8_Other,Q9_ReviewFrequency,Q10_NumCurrencies,Q11_Remittance,Q11_FX,Q11_Ecommerce,Q11_Investment,Q11_BillSplit,Q11_Subscriptions,Q11_None,Q12_SavingsPct,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q13_HealthUnderstanding,Q13_Overspent,Q14_BiggestChallenge,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q16_SubscriptionAlerts,Q16_CreditScore,Q16_HealthDashboard,Q16_ChatbotQueries,Q16_GamifiedSavings,Q17_InterfacePref,Q18_UAEBankIntegration,Q18_RemittancePlatform,Q18_CryptoWallet,Q18_WPSSalary,Q18_InvestmentPlatform,Q18_EcommTracking,Q19_PrivacyConcern,Q20_WTP_Intent,Q20_WTP_Binary,Q21_WTP_Tier,Q21_WTP_AED,Q22_PricingModel,Q23_Incentive,Q24_DownloadLikelihood,Q25_Privacy,Q25_Cost,Q25_Complexity,Q25_BankIntegration,Q25_AITrust,Q25_NoNeed,Q25_Regulatory,Q25_Other,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_LikelySwitch,Q26_TrustRegulatory,Q27_CurrentSatisfaction,Q28_FWImportance,Q29_NPS,Q29_NPS_Category,Q30_EaseOfUse,Q30_AIAccuracy,Q30_RealtimeFX,Q30_CustomerSupport,Q30_DataSecurity,Q30_PersonalisedInsights,Q30_BankIntegration,Q30_Offline,Q31_ConfidenceAI,Derived_PainComposite,Derived_FeatureDesirability,Derived_AdoptionAttitude,Derived_FinancialStress,Derived_TechAffinity,Flag_FlatlineResponder,Flag_OutlierAny,Q1_AgeGroup_Label,Q2_Gender_Label,Q3_Education_Label,Q4_Employment_Label,Q5_IncomeTier_Label,Q6_Nationality_Label,Q7_YearsDubai_Label,Q9_ReviewFrequency_Label,Q10_NumCurrencies_Label,Q12_SavingsPct_Label,Q14_BiggestChallenge_Label,Q15_MoneyLost_Label,Q17_InterfacePref_Label,Q19_PrivacyConcern_Label,Q20_WTP_Intent_Label,Q21_WTP_Tier_Label,Q22_PricingModel_Label,Q23_Incentive_Label,Q29_NPS_Category_Enc,Persona_Cluster_Enc,Q5_IncomeTier_Imputed,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Flag_ValueSeeker,Eng_WTPperPain,Flag_AgeIncomeAtypical,Flag_MultiCurrencyUser
R0011,Tech-Savvy Millennial,3,36,1,3,2,3,7,2,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,1,4,3,3,4,5,4,2,4,4,3,5,4,3,4,3,3,2,4,3,2,3,4,4,3,4,4,4,2,2,1,4,50,4,6,8,0,0,0,1,0,0,0,0,4,3,3,5,4,4,5,7,7,Passive,4,4,4,3,4,5,5,3,6,3.62,3.3,3.83,4.21,1.0,0,0,35-44,Male,MastersMBA,Government,10k-20k,Other,1-3yrs,Monthly,ThreeCurr,NoSavings,EmergencyPlanning,AED101-300,Both,SlightlyConcerned,YesIfJustified,AED41-60,AnnualSubscription,RegulatoryCert,1,4,3,6.24,4.0,2,0.7581,1,13.81,0,0
R0012,High-Earning Nomad,3,38,1,4,3,3,2,3,1,1,1,0,0,0,4,4,1,1,1,0,0,1,0,1,3,4,3,2,3,5,3,5,2,4,4,3,3,4,5,3,5,4,4,4,2,4,4,5,3,4,5,2,3,0,5,80,4,3,4,0,0,0,0,0,0,0,0,1,3,3,5,2,4,5,8,6,Detractor,4,4,5,4,4,5,5,4,3,3.5,3.9,3.0,4.35,6.0,0,0,35-44,Male,Doctoral,Freelancer,10k-20k,SouthAsian,3-5yrs,Quarterly,FourCurr,NoSavings,NoConsolidatedView,AED301-600,WebOnly,SlightlyConcerned,MaybeAfterTrial,AED61-100,AnnualSubscription,BankIntegration,0,3,3,6.0,9.0,4,0.455,0,22.86,0,1
R0013,Cautious Saver,3,41,2,3,1,3,2,4,0,1,0,0,0,0,3,3,1,0,1,1,0,0,0,1,2,2,2,1,3,3,2,3,3,3,5,3,4,5,3,3,4,5,3,3,1,5,2,3,5,3,3,2,2,1,4,50,3,6,6,0,1,0,1,0,0,0,0,2,5,3,4,3,3,6,8,8,Passive,5,4,5,4,5,5,4,4,3,2.25,3.8,3.33,3.52,3.0,0,0,35-44,Female,MastersMBA,PrivateSector,10k-20k,SouthAsian,5-10yrs,Monthly,ThreeCurr,NoSavings,HighFees,AED101-300,MobileOnly,SlightlyConcerned,YesIfJustified,AED41-60,MonthlySubscription,RegulatoryCert,1,1,3,3.3,7.0,3,0.5781,0,22.22,0,0
R0014,Tech-Savvy Millennial,2,32,1,2,1,3,5,2,1,1,1,0,0,0,1,3,0,0,0,0,0,0,1,1,3,2,3,4,3,4,4,4,5,3,5,3,3,5,1,5,3,3,3,4,3,4,4,4,3,3,3,2,2,1,5,80,1,6,8,0,1,0,0,1,0,0,0,4,4,3,5,3,2,4,8,6,Detractor,5,3,5,3,4,4,5,2,4,3.38,3.5,3.5,4.09,6.0,0,0,25-34,Male,Bachelors,PrivateSector,10k-20k,EastAsian,1-3yrs,Daily,ThreeCurr,NoSavings,Subscriptions,AED101-300,Both,SlightlyConcerned,YesIfJustified,AED61-100,FreeWithAds,RegulatoryCert,0,4,3,5.96,8.0,0,0.705,0,23.67,0,0
R0015,Tech-Savvy Millennial,3,38,1,3,3,2,2,5,0,1,0,0,0,0,2,3,1,0,1,0,1,0,0,3,1,3,4,2,2,3,3,4,1,3,4,5,3,4,3,3,2,5,4,5,1,5,2,5,3,4,3,2,1,1,4,50,2,2,6,0,1,0,1,1,0,0,0,4,5,3,4,4,4,5,7,10,Promoter,5,4,3,5,3,5,5,3,5,2.75,3.8,4.0,3.18,3.0,0,0,35-44,Male,MastersMBA,Freelancer,5k-10k,SouthAsian,MoreThan10yrs,Weekly,ThreeCurr,11-20pct,FXLosses,AED101-300,MobileOnly,SlightlyConcerned,YesDefinitely,AED41-60,Freemium,CashbackRewards,2,4,2,4.5,5.0,3,0.655,0,18.18,0,0
R0016,Tech-Savvy Millennial,2,28,2,2,1,5,5,2,0,1,1,0,0,0,4,2,1,1,0,0,1,0,0,1,3,3,4,2,2,5,2,4,2,5,4,4,4,3,4,3,3,5,5,4,3,3,3,4,3,5,3,2,3,0,5,80,4,4,7,0,1,0,0,0,0,0,0,3,4,4,4,5,4,3,7,8,Passive,5,5,5,4,4,4,5,4,7,3.12,3.9,4.0,3.76,6.0,0,0,25-34,Female,Bachelors,PrivateSector,Above40k,EastAsian,1-3yrs,Quarterly,TwoCurr,NoSavings,NoConsolidatedView,AED601-1000,Both,SlightlyConcerned,MaybeAfterTrial,AED61-100,AnnualSubscription,AIFinancialAdvice,1,4,5,5.64,7.0,3,0.735,0,25.64,0,0
R0017,Senior Finance Pro,4,45,1,4,2,3,2,5,0,0,0,1,0,0,3,3,0,0,0,1,1,0,0,2,1,3,3,2,3,4,3,5,2,3,3,3,5,5,5,2,5,4,4,3,2,5,4,5,3,4,4,2,5,0,1,0,2,3,6,0,0,1,1,1,0,0,0,4,4,2,4,2,4,3,8,8,Passive,5,5,5,3,5,5,4,4,5,3.0,3.9,3.33,3.6,1.0,0,0,45-54,Male,Doctoral,Government,10k-20k,SouthAsian,MoreThan10yrs,Monthly,ThreeCurr,1-10pct,NoConsolidatedView,AED101-300,WebOnly,SlightlyConcerned,WontUse,AED0,Freemium,BankIntegration,1,2,3,5.4,5.0,2,0.6081,0,0.0,0,0
R0018,Struggling Expat,2,32,1,3,1,3,5,3,0,1,0,1,0,0,4,2,1,0,1,0,0,0,0,2,4,5,5,3,5,5,2,5,1,6,4,5,5,5,3,3,3,3,5,4,4,3,5,2,4,3,4,3,3,0,3,30,3,2,5,0,0,0,0,1,1,0,0,5,5,3,4,4,4,3,7,6,Detractor,4,5,5,4,4,5,5,3,4,4.25,4.0,4.17,4.03,3.0,0,0,25-34,Male,MastersMBA,PrivateSector,10k-20k,EastAsian,3-5yrs,Quarterly,TwoCurr,1-10pct,FXLosses,Above1000,WhatsApp,ModeratelyConcerned,MaybeAfterTrial,AED21-40,MonthlySubscription,CashbackRewards,0,0,3,7.9,4.0,2,0.6019,0,7.06,0,0
R0019,Senior Finance Pro,3,43,1,3,4,5,2,5,1,0,0,0,0,0,3,4,1,1,1,1,0,1,0,2,2,2,3,3,2,4,1,3,4,4,4,5,3,3,4,4,3,4,2,4,3,4,4,3,5,4,4,2,4,0,5,80,2,5,6,1,0,1,1,0,0,0,0,4,3,3,4,4,5,6,8,4,Detractor,4,5,5,4,5,4,4,4,4,2.5,3.6,3.83,3.55,1.0,0,0,35-44,Male,MastersMBA,BusinessOwner,Above40k,SouthAsian,MoreThan10yrs,Monthly,FourCurr,1-10pct,EmergencyPlanning,AED301-600,Both,SlightlyConcerned,FreeOnly,AED61-100,Freemium,ReferralDiscounts,0,2,5,3.8,7.0,5,0.6281,0,32.0,0,1
R0020,Senior Finance Pro,4,47,2,5,2,5,5,4,0,1,0,0,0,0,3,3,0,1,1,0,0,1,0,1,2,2,3,1,2,4,2,2,6,3,3,4,5,4,4,4,4,5,3,4,2,5,3,3,5,4,4,2,4,0,4,50,3,3,7,0,1,1,0,0,0,0,1,4,4,3,4,4,5,5,6,8,Passive,5,5,5,4,4,4,4,4,6,2.25,4.0,4.0,3.52,3.0,0,0,45-54,Female,ProfQual,Government,Above40k,EastAsian,5-10yrs,Monthly,ThreeCurr,NoSavings,InvestmentInfo,AED101-300,WebOnly,SlightlyConcerned,FreeOnly,AED41-60,MonthlySubscription,BankIntegration,1,2,5,3.5,6.0,3,0.72,0,22.22,0,0
R0021,Struggling Expat,3,36,2,1,1,2,5,4,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,5,5,5,5,5,5,5,5,1,6,3,5,4,4,3,4,4,4,3,2,4,5,4,3,3,3,4,3,1,1,3,30,2,2,10,1,0,0,0,0,0,0,0,4,3,3,5,5,5,1,8,10,Promoter,5,4,4,4,4,5,5,4,2,3.75,3.6,4.17,4.08,1.0,0,0,35-44,Female,HighSchool,PrivateSector,5k-10k,EastAsian,5-10yrs,Daily,TwoCurr,NoSavings,FXLosses,Above1000,WhatsApp,ModeratelyConcerned,YesDefinitely,AED21-40,Freemium,CashbackRewards,2,0,2,7.3,2.0,2,0.8219,1,8.0,0,0
R0022,Tech-Savvy Millennial,2,34,1,5,1,5,2,2,0,1,1,0,0,0,2,3,0,1,1,1,1,1,0,2,4,3,3,2,2,5,1,5,2,4,4,5,4,5,3,3,3,4,3,5,5,4,4,2,4,4,3,3,1,1,4,50,2,1,7,1,0,1,1,0,0,1,0,4,4,4,4,5,3,6,8,9,Promoter,5,5,3,3,4,4,5,3,5,3.12,3.9,4.0,3.66,6.0,0,0,25-34,Male,ProfQual,PrivateSector,Above40k,SouthAsian,1-3yrs,Weekly,ThreeCurr,1-10pct,NoConsolidatedView,AED301-600,NoPreference,ModeratelyConcerned,YesDefinitely,AED41-60,Freemium,FreeMonthTrial,2,4,5,5.04,9.0,5,0.705,0,16.03,0,0
R0023,Senior Finance Pro,3,41,2,3,3,4,2,4,1,0,0,0,0,0,2,3,0,0,1,0,1,1,0,4,4,2,2,2,3,2,4,2,6,5,4,4,4,5,3,3,4,4,3,2,3,5,5,2,3,5,5,3,2,1,6,150,4,3,6,1,0,0,0,0,0,0,0,4,3,3,4,5,3,4,6,9,Promoter,4,5,4,3,4,5,4,5,3,2.62,3.6,3.67,2.81,1.0,0,0,35-44,Female,MastersMBA,Freelancer,20k-40k,SouthAsian,5-10yrs,Weekly,ThreeCurr,21-30pct,InvestmentInfo,AED601-1000,Both,ModeratelyConcerned,YesIfJustified,Above100,AnnualSubscription,BankIntegration,2,2,4,4.44,4.0,3,0.6019,0,57.25,0,0
R0024,Senior Finance Pro,3,43,1,3,3,4,2,3,0,0,1,0,0,0,3,3,1,0,1,1,0,1,0,2,2,1,3,2,1,3,2,1,3,3,3,3,5,4,5,3,4,5,2,3,3,4,4,2,5,5,4,3,1,1,5,80,4,4,6,1,1,0,1,0,0,0,0,3,4,3,4,3,4,5,7,10,Promoter,3,5,4,5,4,5,5,4,2,2.0,3.7,3.5,3.04,4.0,0,0,35-44,Male,MastersMBA,Freelancer,20k-40k,SouthAsian,3-5yrs,Monthly,ThreeCurr,1-10pct,HighFees,AED101-300,Both,ModeratelyConcerned,YesDefinitely,AED61-100,AnnualSubscription,AIFinancialAdvice,2,2,4,3.0,9.0,4,0.575,0,40.0,0,0
R0025,Senior Finance Pro,4,47,2,2,1,3,7,5,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,2,3,3,1,3,3,3,6,3,2,5,5,4,5,4,5,5,4,2,4,5,4,2,3,4,2,2,2,1,5,80,2,4,8,0,1,0,0,0,0,0,0,4,4,3,4,4,4,5,7,8,Passive,5,5,4,5,4,5,5,3,7,2.38,4.1,3.83,3.59,0.0,0,0,45-54,Female,Bachelors,PrivateSector,10k-20k,Other,MoreThan10yrs,Weekly,ThreeCurr,NoSavings,InvestmentInfo,AED101-300,WhatsApp,SlightlyConcerned,YesIfJustified,AED61-100,Freemium,AIFinancialAdvice,1,2,3,3.76,3.0,1,0.7731,0,33.61,0,0
R0026,Cautious Saver,4,52,1,5,4,3,2,4,1,0,1,0,1,0,1,3,1,1,1,0,1,1,0,1,4,3,3,4,2,3,3,2,6,3,2,4,4,3,4,4,3,5,2,4,1,5,4,2,4,4,4,3,2,1,3,30,2,5,6,1,0,1,0,0,0,0,0,3,4,4,3,3,4,4,6,6,Detractor,5,5,4,4,5,4,4,3,3,3.0,3.5,3.5,3.9,3.0,0,0,45-54,Male,ProfQual,BusinessOwner,10k-20k,SouthAsian,5-10yrs,Daily,ThreeCurr,NoSavings,InvestmentInfo,AED101-300,MobileOnly,ModeratelyConcerned,YesIfJustified,AED21-40,Freemium,ReferralDiscounts,0,1,3,5.2,7.0,5,0.59,0,10.0,0,0
R0027,Tech-Savvy Millennial,2,31,1,2,1,4,2,2,0,1,0,0,0,0,2,3,1,0,0,1,0,0,0,1,3,3,3,3,3,3,3,3,7,4,4,4,3,5,4,5,4,5,3,4,4,4,5,4,1,4,3,1,2,1,4,50,2,4,6,0,1,0,0,0,0,0,0,3,3,3,3,3,3,10,7,2,Detractor,3,3,3,3,3,3,3,3,5,3.62,4.1,4.17,4.21,3.0,0,1,25-34,Male,Bachelors,PrivateSector,20k-40k,SouthAsian,1-3yrs,Weekly,ThreeCurr,NoSavings,NoChallenge,AED301-600,WhatsApp,NotConcerned,YesIfJustified,AED41-60,Freemium,AIFinancialAdvice,0,4,4,5.24,7.0,2,0.6669,1,13.81,0,0
R0028,Struggling Expat,2,34,2,2,1,3,1,4,1,0,0,0,0,0,3,2,0,0,1,1,1,1,0,1,3,4,5,3,3,5,4,5,3,5,4,5,4,5,3,3,3,4,3,3,1,4,5,2,3,2,5,3,2,1,3,30,2,2,4,0,1,0,0,0,0,0,0,3,3,5,2,5,5,2,7,6,Detractor,3,4,4,5,3,4,5,4,4,4.0,3.7,3.83,4.2,1.0,0,0,25-34,Female,Bachelors,PrivateSector,10k-20k,Emirati,5-10yrs,Monthly,TwoCurr,NoSavings,HighFees,AED601-1000,MobileOnly,ModeratelyConcerned,YesIfJustified,AED21-40,Freemium,CashbackRewards,0,0,3,7.6,5.0,4,0.5281,1,7.5,0,0
R0029,Struggling Expat,3,36,1,2,5,4,2,2,0,1,0,0,0,0,2,2,0,1,0,1,0,1,0,1,3,1,5,5,5,5,4,5,2,5,4,5,3,5,2,3,4,5,4,4,3,5,5,2,4,2,5,2,2,1,4,50,2,4,6,1,0,0,0,0,0,0,0,5,3,3,5,4,5,3,6,4,Detractor,4,5,2,4,5,4,5,4,4,4.12,3.9,4.17,4.26,3.0,0,0,35-44,Male,Bachelors,PartTime,20k-40k,SouthAsian,1-3yrs,Weekly,TwoCurr,NoSavings,NoConsolidatedView,AED601-1000,Both,SlightlyConcerned,YesIfJustified,AED41-60,Freemium,AIFinancialAdvice,0,0,4,7.64,7.0,3,0.6519,1,12.14,0,0
R0030,Tech-Savvy Millennial,2,29,1,3,4,3,3,3,0,1,0,0,0,0,1,2,1,1,0,0,1,1,0,1,2,5,4,3,1,3,1,4,4,3,4,4,3,2,4,4,3,4,5,4,3,5,3,4,3,3,3,2,2,1,3,30,3,1,6,0,0,0,0,0,0,0,0,4,5,4,4,4,4,6,6,9,Promoter,5,5,5,4,4,5,4,2,3,2.88,3.7,4.17,3.64,3.0,0,0,25-34,Male,MastersMBA,BusinessOwner,10k-20k,ArabExpat,3-5yrs,Daily,TwoCurr,NoSavings,EmergencyPlanning,AED101-300,Both,SlightlyConcerned,YesIfJustified,AED21-40,MonthlySubscription,FreeMonthTrial,2,4,3,4.56,5.0,4,0.6369,0,10.42,0,0
